Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
Basic,Common,,1,1,Yes,10,10,2.5,N/A,3.759,Score Required (Not listed in game),N/A,N/A,,Far,Close,"5 commons are provided upon for free when first playing or if no petals are equipped when spawning. Common basics do not appear in the inventory.
The minimum drop rarity for basics is unusual. They drop from players depending on their XP upon death. Both the person who died and the person who collects the drop obtain it. Basic drops are available for everyone, not just the highest damage dealer. They can only be picked up once and are not shared between squadmates.",Flower,0,3,3,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,20,,,,,,,1,9,9,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,180,,,,,,,,27,27,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,2700,,,,,,,,81,81,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,72000,,,,,,,,243,243,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,6600000,,,,,,,,729,729,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,N/A,,,,,,,,2187,2187,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,N/A,,,,,,,,6561,6561,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,N/A,,,,,,,Enemy Damage,,,1,26.244,26.244,
Basil,Common,,49,1,Yes,N/A,N/A,1,N/A,N/A,Healing Bonus,20%,N/A,,None,Close,Increases all healing received from yourself or other players. See Statuses for info on healing received.,"Queen Ant
Queen Fire Ant",100,2,2,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,1,N/A,N/A,,25%,,,,,,,,4,4,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,1,N/A,N/A,,30%,,,,,,,,8,8,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,1,N/A,N/A,,35%,,,,,,,,16,16,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,1,N/A,N/A,,40%,,,,,,,,32,32,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,1,N/A,N/A,,45%,,,,,,,,64,64,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,1,N/A,N/A,,50%,,,,,,,,128,128,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,1,N/A,N/A,,55%,,,,,,,,256,256,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,1,N/A,N/A,,60%,,,,,,,,,,1,#VALUE!,#VALUE!,
Battery,Common,,69,1,Yes,N/A,N/A,2.5,N/A,28.8,Lightning; Bounces; Charges,12,2,3,None,Close,"Releases a lightning attack when an enemy or projectile makes contact with the flower. Lightning can bounce to nearby enemies up to the indicated number of times by the bounce stat. All entities struck by it have their velocity set to 0 for an instant. Each lightning attack depletes 1 charge from the petal. When charge runs out, the petal goes on respawn.","Firefly
Firefly (shiny)",,2,2,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,2.5,N/A,129.6,,36,3,3,,,,,,4,4,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,2.5,N/A,518.4,,108,4,3,,,,,,8,8,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,2.5,N/A,1944,,324,5,3,,,,,,16,16,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,2.5,N/A,6998.4,,972,6,3,,,,,,32,32,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,2.5,N/A,24494.4,,2916,7,3,,,,,,64,64,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,2.5,N/A,83980.8,,8748,8,3,,,,,,128,128,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,2.5,N/A,283435.2,,26244,9,3,,,,,,256,256,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,2.5,N/A,944784,,78732,10,3,,,,,,,,1,#VALUE!,#VALUE!,
Blueberries,Common,,82,4,Yes,0,5,1.5,0.5,60,Lightning,30,N/A,,Shoots,Shoots,"Upon attacking or defending, splits off in 4 (or 5 with duplicator) directions at 90 (72 with duplicator) degree angles, moving in a straight line away from their release point. The peas' orientation does not affect the direction it moves.
The petal's lightning can bypass armor but does not bounce.
Projectile damage is divided by 5 if not shot.
Cannot go through walls.","With Orb equipped:
Centipede (Green)
Centipede (Evil)",,,,0,0,1,
,Unusual,,,4,,0,15,3,0.5,180,,90,,,,,,,,,,0,0,1,
,Rare,,,4,,0,45,6,0.5,540,,270,,,,,,,,,,0,0,1,
,Epic,,,4,,0,135,12,0.5,1620,,810,,,,,,,,,,0,0,1,
,Legendary,,,4,,0,405,24,0.5,4860,,2430,,,,,,,,,,0,0,1,
,Mythic,,,4,,0,1215,48,0.5,14580,,7290,,,,,,,,,,0,0,1,
,Ultra,,,4,,0,3645,96,0.5,43740,,21870,,,,,,,,,,1,1.458,1.458,
,Super,,,4,,0,10935,192,0.5,131220,,65610,,,,,,,,,,1,4.374,4.374,
,Unique,,,4,,0,32805,384,0.5,393660,,196830,,,,,,,,,,1,13.122,13.122,
Bone,Common,,58,1,Yes,15,10,2.5,N/A,5.639,Armor,3,N/A,,Far,Close,Petal has armor. See Statuses for info on armor.,Fire Soldier Ant,,,,0,0,1,
,Unusual,,,1,,45,30,2.5,N/A,16.917,,9,,,,,,,,,,0,0,1,
,Rare,,,1,,135,90,2.5,N/A,101.504,,27,,,,,,,,,,0,0,1,
,Epic,,,1,,405,270,2.5,N/A,2283.835,,81,,,,,,,,,,0,0,1,
,Legendary,,,1,,1215,810,2.5,N/A,11419.173,,243,,,,,,,,,,0,0,1,
,Mythic,,,1,,3645,2430,2.5,N/A,34257.519,,729,,,,,,,,,,0,0,1,
,Ultra,,,1,,10935,7290,2.5,N/A,142962.966,,2187,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,32805,21870,2.5,N/A,628896.695,,6561,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,98415,65610,2.5,N/A,2233949.678,,19683,,,,,,,,,,1,26.244,26.244,
Bubble,Common,,13,1,Yes,0,1,2,0.7,0,N/A,,,,None,Speed Boost,"Upon defending, boosts your flower in the direction opposite the bubble is facing. Petal goes on respawn afterward.","With no Orb equipped:
Bubble",,,,0,0,1,
,Unusual,,,1,,0,1,1.8,0.6,0,,,,,,,,,,,,0,0,1,
,Rare,,,1,,0,1,1.5,0.5,0,,,,,,,,,,,,0,0,1,
,Epic,,,1,,0,1,1.2,0.4,0,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,1,1,0.3,0,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,1,0.8,0.2,0,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,1,0.5,0.1,0,,,,,,,,,,,,0,0,1,
,Super,,,1,,0,1,0.2,0.1,0,,,,,,,,,,,,0,0,1,
,Unique,,,1,,0,1,0.1,0,0,,,,,,,,,,,,0,0,1,
Magic Bubble,Common,,91,1,Yes,0,1,2,0.7,0,Mana Respawn (Mana needed for recharge),5,N/A,,None,Speed Boost,"Upon defending, boosts your flower in the direction it is moving (regardless of the petal's location). Boost strength is determined the same way as normal bubbles are, but the boost will always be in the direction the user is moving. Petal goes on respawn afterward.","With Orb equipped:
Bubble",,,,0,0,1,
,Unusual,,,1,,0,1,1.8,0.6,0,,10,,,,,,,,,,0,0,1,
,Rare,,,1,,0,1,1.5,0.5,0,,20,,,,,,,,,,0,0,1,
,Epic,,,1,,0,1,1.2,0.4,0,,40,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,1,1,0.3,0,,80,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,1,0.8,0.2,0,,160,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,1,0.5,0.1,0,,320,,,,,,,,,,0,0,1,
,Super,,,1,,0,1,0.2,0.1,0,,640,,,,,,,,,,0,0,1,
,Unique,,,1,,0,1,0.1,0.1,0,,1280,,,,,,,,,,0,0,1,
Light Bulb,Common,,55,1,Yes,5,10,1,0.5,4.31,Radius,300,N/A,,None,Close,"Makes all mobs near the player that can be aggroed with proximity or damage aggressive toward the player, if not already aggroed. ","Firefly
Moth",,,,0,0,1,
,Unusual,,,1,,15,30,1,0.5,12.931,,600,,,,,,,,,,0,0,1,
,Rare,,,1,,45,90,1,0.5,38.793,,900,,,,,,,,,,0,0,1,
,Epic,,,1,,135,270,1,0.5,349.138,,1200,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,810,1,0.5,3142.241,,1500,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,2430,1,0.5,26185.345,,1800,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,7290,1,0.5,65191.487,,2100,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,10935,21870,1,0.5,241369.045,,2400,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,32805,65610,1,0.5,785409.448,,2700,,,,,,,,,,1,26.244,26.244,
Bur,Common,,64,1,Yes,5,5,2,N/A,3.009,Armor Debuff; Duration,1.5,3,N/A,Far,Close,"Decreases armor upon hitting an enemy. Does not stack, though repeated hits will reset the duration. See Statuses for info on armor.",Mantis,,,,0,0,1,
,Unusual,,,1,,15,15,2,N/A,9.028,,4.5,3,,,,,,,,,0,0,1,
,Rare,,,1,,45,45,2,N/A,27.083,,13.5,3,,,,,,,,,0,0,1,
,Epic,,,1,,135,135,2,N/A,162.5,,40.5,3,,,,,,,,,0,0,1,
,Legendary,,,1,,405,405,2,N/A,1218.75,,121.5,3,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,1215,2,N/A,9506.25,,364.5,3,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,3645,2,N/A,47738.619,,1093.5,3,,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935,10935,2,N/A,237904.029,,3280.5,3,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805,32805,2,N/A,915468.154,,9841.5,3,,,,,,,,,1,13.122,13.122,
Cactus,Common,,11,1,Yes,5,15,1,N/A,4.31,Flower Health,30,N/A,,Far,Close,Increases the Max Health of the user. See Statuses for more info on Max Health.,Cactus,,,,0,0,1,
,Unusual,,,1,,15,45,1,N/A,12.931,,90,,,,,,,,,,0,0,1,
,Rare,,,1,,45,135,1,N/A,77.586,,270,,,,,,,,,,0,0,1,
,Epic,,,1,,135,405,1,N/A,581.897,,810,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,1215,1,N/A,4538.793,,2430,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,3645,1,N/A,16916.253,,7290,,,,,,,,,,1,1.458,1.458,
,Ultra,,,1,,3645,10935,1,N/A,72023.988,,21870,,,,,,,,,,1,4.374,4.374,
,Super,,,1,,10935,32805,1,N/A,251171.177,,65610,,,,,,,,,,1,13.122,13.122,
,Unique,,,1,,32805,98415,1,N/A,796650.07,,196830,,,,,,,,,,1,39.366,39.366,
Magic Cactus,Common,,86,1,Yes,5,15,1,N/A,4.31,Max Mana,247.5,N/A,,Far,Close,Increases the Max Mana of the user.,Cactus,,,,0,0,1,
,Unusual,,,1,,15,45,1,N/A,12.931,,495,,,,,,,,,,0,0,1,
,Rare,,,1,,45,135,1,N/A,77.586,,990,,,,,,,,,,0,0,1,
,Epic,,,1,,135,405,1,N/A,581.897,,1980,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,1215,1,N/A,4538.793,,3960,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,3645,1,N/A,16916.253,,7920,,,,,,,,,,1,1.458,1.458,
,Ultra,,,1,,3645,10935,1,N/A,72023.988,,15840,,,,,,,,,,1,4.374,4.374,
,Super,,,1,,10935,32805,1,N/A,251171.177,,31680,,,,,,,,,,1,13.122,13.122,
,Unique,,,1,,32805,98415,1,N/A,796650.07,,63360,,,,,,,,,,1,39.366,39.366,
Card,Common,,76,1,Yes,5/10/15/20,30/25/20/15,2.5,0.5,#VALUE!,N/A,,,,Far,Close,"Each reload, the petal appears with a different suit. Each suit has different damage and health and has an equal chance of appearing.
On a Unique card, every suit is replaced with a Joker. This has no effect on its stats. 
For the petal stats, the order of the suits is Spades/Clubs/Hearts/Diamonds.","Gambler
Spider (Hel)",,20,15,1,#VALUE!,#VALUE!,
,Unusual,,,1,,15/30/45/60,90/75/60/45,2.5,0.5,#VALUE!,,,,,,,,,,60,45,1,#VALUE!,#VALUE!,
,Rare,,,1,,45/90/135/180,"270/225/
180/135",2.5,0.5,#VALUE!,,,,,,,,,,180,135,1,#VALUE!,#VALUE!,
,Epic,,,1,,"135/270/
405/540","810/675/
540/405",2.5,0.5,#VALUE!,,,,,,,,,,540,405,1,#VALUE!,#VALUE!,
,Legendary,,,1,,"405/810/
1215/1620","2430/2025/
1620/1215",2.5,0.5,#VALUE!,,,,,,,,,,1620,1215,1,#VALUE!,#VALUE!,
,Mythic,,,1,,"1215/2430/
3645/4860","7290/6075/
4860/3645",2.5,0.5,#VALUE!,,,,,,,,,,4860,3645,1,#VALUE!,#VALUE!,
,Ultra,,,1,,"3645/7290/
10935/14580","21870/18225/
14580/10935",2.5,0.5,#VALUE!,,,,,,,,,,14580,10935,1,#VALUE!,#VALUE!,
,Super,,,1,,"10935/21870/
32805/43740","65610/54675/
43740/32805",2.5,0.5,#VALUE!,,,,,,,,,,43740,32805,1,#VALUE!,#VALUE!,
,Unique,,,1,,32805/65610/98415/131220,"196830/
164025/
131220/98415",2.5,0.5,#VALUE!,,,,,,,,,,,,1,#VALUE!,#VALUE!,
Carrot,Common,,57,1,Yes,10,10,2.5,0.5,3.759,N/A,,,,Shoots,Close,"Upon attacking, shoots in a straight line away from the flower. If it hits a wall or mob, it will bounce off of it.",Baby Termite,,,,0,0,1,
,Unusual,,,1,,30,30,2.5,0.5,11.278,,,,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,0.5,33.835,,,,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,0.5,304.511,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,0.5,2740.602,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,0.5,22838.346,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,0.5,95308.644,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,0.5,419264.464,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,,,65610,65610,2.5,0.5,0,,,,,,,,,,,,1,26.244,26.244,
Cogwheel,Common,,98,1,Yes,13,13,2.5,N/A,4.887,N/A,,,,Far,Close,Makes all of your petals move in cycles. Amount of time between each cycle depends on petal rotation speed,Mecha Flower,,,,0,0,1,
,Unusual,,,1,,39,39,2.5,N/A,14.662,,,,,,,,,,,,0,0,1,
,Rare,,,1,,117,117,2.5,N/A,87.97,,,,,,,,,,,,0,0,1,
,Epic,,,1,,351,351,2.5,N/A,527.82,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,1053,1053,2.5,N/A,4354.511,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,3159,3159,2.5,N/A,25433.992,,,,,,,,,,,,1,1.2636,1.2636,
,Ultra,,,1,,9477,9477,2.5,N/A,139228.513,,,,,,,,,,,,1,3.7908,3.7908,
,Super,,,1,,28431,28431,2.5,N/A,576039.566,,,,,,,,,,,,1,11.3724,11.3724,
,Unique,,,,,85293,85293,2.5,N/A,0,,,,,,,,,,,,1,34.1172,34.1172,
Poker Chip,Common,,75,1,Yes,5,1,2.5,N/A,7.519,Petal Evasion,90%,N/A,,Far,Close,"The petal has a different color depending on rarity. This is reflected in the petal icon. Common is White, Unusual is Red, Rare is Blue, Epic is Green, Legendary is Black, Mythic is Purple, Ultra is Gold, Super is Grey and Unique is Orange.
The petal has a 90% of evading incoming damage each tick.
This petal may be inserted into the plinko minigame when in Hel.","Centipede (Hel)
Gambler
Wasp (Hel)",,,,0,0,1,4
,Unusual,,,1,,15,3,2.5,N/A,22.556,,90%,,,,,,,,,,0,0,1,
,Rare,,,1,,45,9,2.5,N/A,67.669,,90%,,,,,,,,,,0,0,1,
,Epic,,,1,,135,27,2.5,N/A,203.008,,90%,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,81,2.5,N/A,609.023,,90%,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,243,2.5,N/A,5481.203,,90%,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,729,2.5,N/A,43849.624,,90%,,,,,,,,,,0,0,1,
,Super,,,1,,10935,2187,2.5,N/A,361759.398,,90%,,,,,,,,,,0,0,1,
,Unique,,,1,,32805,6561,2.5,N/A,1629199.947,,90%,,,,,,,,,,1,2.6244,2.6244,
Claw,Common,,35,1,Yes,5,10,3.5,N/A,1.366,Extra Damage,100,N/A,,Far,Close,"Deals more damage on top of base damage, as determined by the extra damage stat, if the target is above 80% health. Otherwise deals base damage. Damage is reduced by 50% versus flowers. Base damage is calculated after extra damage.",Crab,,,,0,0,1,
,Unusual,,,1,,15,30,3.5,N/A,4.098,,300,,,,,,,,,,0,0,1,
,Rare,,,1,,45,90,3.5,N/A,12.295,,900,,,,,,,,,,0,0,1,
,Epic,,,1,,135,270,3.5,N/A,110.656,,2700,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,810,3.5,N/A,995.902,,8100,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,2430,3.5,N/A,8299.18,,24300,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,7290,3.5,N/A,40407.619,,72900,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,10935,21870,3.5,N/A,192737.307,,218700,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,32805,65610,3.5,N/A,719748.545,,656100,,,,,,,,,,1,26.244,26.244,
Clover,Common,,46,1,No,10,10,2.5,N/A,3.759,Luck,0.1,N/A,,None,Close,Increases the luck stat. See Statuses for more info on Luck.,Soldier Ant,,,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,0.2,,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,0.3,,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,0.4,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,0.5,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,0.6,,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,0.7,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,0.8,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,0.9,,,,,,,,,,1,26.244,26.244,
Compass,Common,,71,1,Yes,1,40,2.5,4,0.376,N/A,,,,None,Close,Points to the nearest super mob. The ultra variant of this petal will point to the nearest Magnet (instead of a super mob) if one is nearby.,Termite Overmind,,,,0,0,1,
,Unusual,,,1,,3,120,2.5,4,2.256,,,,,,,,,,,,0,0,1,
,Rare,,,1,,9,360,2.5,4,13.534,,,,,,,,,,,,0,0,1,
,Epic,,,1,,27,1080,2.5,4,111.654,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,81,3240,2.5,4,663.397,,,,,,,,,,,,1,1.296,1.296,
,Mythic,,,1,,243,9720,2.5,4,3607.147,,,,,,,,,,,,1,3.888,3.888,
,Ultra,,,1,,729,29160,2.5,4,14840.575,,,,,,,,,,,,1,11.664,11.664,
,Super,,,1,,2187,87480,2.5,4,50812.377,,,,,,,,,,,,1,34.992,34.992,
,Unique,,,1,,6561,262440,2.5,4,159971.463,,,,,,,,,,,,1,104.976,104.976,
Coin,Common,,74,1,Yes,15,10,2.5,N/A,5.639,N/A,,,,Far,Close,Obtained by making a trade with the Trader mob (unique must be crafted).,N/A,,,,0,0,1,
,Unusual,,,1,,45,30,2.5,N/A,16.917,,,,,,,,,,,,0,0,1,
